,desc,docurl,filedate,path,ticker,filename
2803,0000950123-05-003226,/Archives/edgar/data/1058290/000095012305003226/0000950123-05-003226-index.htm,3/16/2005,https://www.sec.gov/Archives/edgar/data/1058290/000095012305003226/0000950123-05-003226.txt,CTSH,CTSH_2005-03-16_0000950123-05-003226.txt
2804,0000903100-04-000126,/Archives/edgar/data/1058290/000090310004000126/0000903100-04-000126-index.htm,3/12/2004,https://www.sec.gov/Archives/edgar/data/1058290/000090310004000126/0000903100-04-000126.txt,CTSH,CTSH_2004-03-12_0000903100-04-000126.txt
2805,0000903100-03-000057,/Archives/edgar/data/1058290/000090310003000057/0000903100-03-000057-index.htm,3/14/2003,https://www.sec.gov/Archives/edgar/data/1058290/000090310003000057/0000903100-03-000057.txt,CTSH,CTSH_2003-03-14_0000903100-03-000057.txt
2806,0000903100-02-000082,/Archives/edgar/data/1058290/000090310002000082/0000903100-02-000082-index.htm,3/11/2002,https://www.sec.gov/Archives/edgar/data/1058290/000090310002000082/0000903100-02-000082.txt,CTSH,CTSH_2002-03-11_0000903100-02-000082.txt
2807,0000903100-01-000038,/Archives/edgar/data/1058290/000090310001000038/0000903100-01-000038-index.htm,3/15/2001,https://www.sec.gov/Archives/edgar/data/1058290/000090310001000038/0000903100-01-000038.txt,CTSH,CTSH_2001-03-15_0000903100-01-000038.txt
2808,0001015357-00-000035,/Archives/edgar/data/1058290/0001015357-00-000035-index.html,3/7/2000,https://www.sec.gov/Archives/edgar/data/1058290/000101535700000035/0001015357-00-000035.txt,CTSH,CTSH_2000-03-07_0001015357-00-000035.txt
2809,0001015357-99-000036,/Archives/edgar/data/1058290/0001015357-99-000036-index.html,3/19/1999,https://www.sec.gov/Archives/edgar/data/1058290/000101535799000036/0001015357-99-000036.txt,CTSH,CTSH_1999-03-19_0001015357-99-000036.txt
2810,0000021665-18-000006,/Archives/edgar/data/21665/000002166518000006/0000021665-18-000006-index.htm,2/21/2018,https://www.sec.gov/Archives/edgar/data/21665/000002166518000006/0000021665-18-000006.txt,CL,CL_2018-02-21_0000021665-18-000006.txt
2811,0000021665-18-000003,/Archives/edgar/data/21665/000002166518000003/0000021665-18-000003-index.htm,2/15/2018,https://www.sec.gov/Archives/edgar/data/21665/000002166518000003/0000021665-18-000003.txt,CL,CL_2018-02-15_0000021665-18-000003.txt
2812,0000021665-17-000002,/Archives/edgar/data/21665/000002166517000002/0000021665-17-000002-index.htm,2/23/2017,https://www.sec.gov/Archives/edgar/data/21665/000002166517000002/0000021665-17-000002.txt,CL,CL_2017-02-23_0000021665-17-000002.txt
2813,0001628280-16-011343,/Archives/edgar/data/21665/000162828016011343/0001628280-16-011343-index.htm,2/18/2016,https://www.sec.gov/Archives/edgar/data/21665/000162828016011343/0001628280-16-011343.txt,CL,CL_2016-02-18_0001628280-16-011343.txt
2814,0001628280-15-000846,/Archives/edgar/data/21665/000162828015000846/0001628280-15-000846-index.htm,2/19/2015,https://www.sec.gov/Archives/edgar/data/21665/000162828015000846/0001628280-15-000846.txt,CL,CL_2015-02-19_0001628280-15-000846.txt
2815,0001545547-14-000003,/Archives/edgar/data/21665/000154554714000003/0001545547-14-000003-index.htm,2/20/2014,https://www.sec.gov/Archives/edgar/data/21665/000154554714000003/0001545547-14-000003.txt,CL,CL_2014-02-20_0001545547-14-000003.txt
2816,0001445305-13-000275,/Archives/edgar/data/21665/000144530513000275/0001445305-13-000275-index.htm,2/21/2013,https://www.sec.gov/Archives/edgar/data/21665/000144530513000275/0001445305-13-000275.txt,CL,CL_2013-02-21_0001445305-13-000275.txt
2817,0001445305-12-000409,/Archives/edgar/data/21665/000144530512000409/0001445305-12-000409-index.htm,2/23/2012,https://www.sec.gov/Archives/edgar/data/21665/000144530512000409/0001445305-12-000409.txt,CL,CL_2012-02-23_0001445305-12-000409.txt
2818,0001140361-11-011883,/Archives/edgar/data/21665/000114036111011883/0001140361-11-011883-index.htm,2/24/2011,https://www.sec.gov/Archives/edgar/data/21665/000114036111011883/0001140361-11-011883.txt,CL,CL_2011-02-24_0001140361-11-011883.txt
